Wavelength,Flux,Noise
0.99124974,1.9918946E-17,3.6299837E-18
0.99139327,1.7305093E-17,3.6055996E-18
0.99153674,1.6990305E-17,3.5695027E-18
0.9916802,2.25562E-17,3.54393E-18
0.99182373,3.29999E-17,3.5111E-18
0.9919672,2.6129605E-17,3.3938081E-18
0.99211067,1.6208862E-17,3.3504227E-18
0.99225414,2.3335812E-17,3.3511614E-18
0.9923976,3.6396943E-17,3.3320787E-18
0.9925411,2.7749529E-17,3.357751E-18
0.99268454,2.038175E-17,3.3382501E-18
0.992828,2.2099824E-17,3.3163923E-18
0.9929715,2.3031124E-17,3.2796925E-18
0.99311495,2.5989662E-17,3.2346346E-18
0.9932584,2.8703763E-17,3.1349124E-18
0.9934019,2.9515833E-17,3.1124497E-18
0.99354535,2.5952997E-17,3.1236422E-18
0.99368876,2.7771405E-17,3.098251E-18
0.99383223,2.5735048E-17,3.1022931E-18
0.9939757,2.844638E-17,3.130027E-18
0.9941191,2.2693275E-17,3.0675422E-18
0.9942626,2.63274E-17,3.054174E-18
0.994406,3.452285E-17,3.0551651E-18
0.99454945,2.2019217E-17,3.0616934E-18
0.99469286,2.8825967E-17,2.9581143E-18
0.99483633,3.804712E-17,2.91099E-18
0.99497974,3.744508E-17,2.980889E-18
0.9951232,3.3481727E-17,2.9227453E-18
0.9952666,3.6942995E-17,2.911602E-18
0.99541,3.3331954E-17,2.8906536E-18
0.9955535,3.013634E-17,2.8381975E-18
0.9956969,2.2649588E-17,2.8527637E-18
0.9958403,2.6129458E-17,2.8724258E-18
0.9959837,2.8432358E-17,2.845169E-18
0.9961271,3.1479768E-17,2.8018973E-18
0.99627054,3.769106E-17,2.7311002E-18
0.99641395,3.5517627E-17,2.712879E-18
0.99655735,3.2527812E-17,2.6887127E-18
0.99670076,3.6211337E-17,2.6658364E-18
0.9968442,2.8643183E-17,2.610673E-18
0.9969876,2.699831E-17,2.6259527E-18
0.997131,2.9698974E-17,2.6229204E-18
0.9972744,2.8297144E-17,2.6171209E-18
0.9974178,3.293362E-17,2.6190244E-18
0.99756116,3.6578678E-17,2.6315508E-18
0.99770457,3.612417E-17,2.556598E-18
0.997848,2.9731323E-17,2.5151427E-18
0.9979913,3.1038447E-17,2.4989145E-18
0.99813473,3.468812E-17,2.4731776E-18
0.9982781,3.2510124E-17,2.4814912E-18
0.9984215,3.5632095E-17,2.462533E-18
0.99856484,3.3565616E-17,2.4600945E-18
0.99870825,3.6708757E-17,2.4818812E-18
0.9988516,3.4542662E-17,2.4216858E-18
0.998995,2.7488482E-17,2.373801E-18
0.99913836,2.3158878E-17,2.2985395E-18
0.9992817,2.5184354E-17,2.2330808E-18
0.99942505,3.029976E-17,2.2198664E-18
0.99956846,2.9916658E-17,2.2390718E-18
0.9997118,2.9634162E-17,2.306698E-18
0.99985516,3.001186E-17,2.2958007E-18
0.9999985,3.1291214E-17,2.2918613E-18
1.0001419,3.3417415E-17,2.2960278E-18
1.0002853,3.8720986E-17,2.2889887E-18
1.0004286,3.620369E-17,2.2637235E-18
1.000572,3.6598146E-17,2.225799E-18
1.0007153,3.7758492E-17,2.1327808E-18
1.0008585,3.5131046E-17,2.147695E-18
1.001002,3.0061854E-17,2.1515567E-18
1.0011452,3.0425288E-17,2.173336E-18
1.0012887,3.632097E-17,2.1724745E-18
1.001432,3.695652E-17,2.1757687E-18
1.0015752,4.0931755E-17,2.2255462E-18
1.0017186,4.3444538E-17,2.1922369E-18
1.0018619,3.360661E-17,2.122407E-18
1.0020052,2.810769E-17,2.0843264E-18
1.0021485,2.6200868E-17,2.0625906E-18
1.0022919,2.9481835E-17,2.0389138E-18
1.0024352,2.7178855E-17,1.9965638E-18
1.0025785,3.1632068E-17,1.9950414E-18
1.0027218,3.0161014E-17,2.013862E-18
